Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitude,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"","N123ND","KBED",42.464190647045584,-71.29209578975224,"KBED",42.4692416,-71.2847168,1759684090999,1759690947450,5021.38990641,111.8920900249048,"None","iPad","iPad16,2","18.6",0.6,"iOS",16.0,2.4,2.8022644796051677,14.0,1.7,2.4925423859522,"iOS","KBED KORH KBED 3000ft"
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.7596850610004256E9,42.464190647045584,-71.29209578975224,143.02620424686125,316.40625,5.559395037482598,-0.21,2.22,3.5355339059327373,3.0
1.75968506200043E9,42.46421017687997,-71.29211934290015,143.4276986309861,319.21875,5.850971896362054,-0.21,2.22,3.5355339059327373,3.0
1.759685063000436E9,42.46423155073306,-71.29214155494356,143.33298200071624,323.0859375,5.96760245453438,-0.21,2.22,3.5355339059327373,3.0
1.759685064000441E9,42.46425506197146,-71.29216108477794,142.93489180837702,329.0625,5.96760245453438,-0.21,2.22,3.5355339059327373,3.0
1.7596850650004463E9,42.464280081952424,-71.29217675893688,142.7454585478373,335.390625,5.96760245453438,-0.21,2.22,3.5355339059327373,3.0
1.7596850660004516E9,42.46430652685693,-71.29218849360132,142.06502068386914,341.015625,5.987040880896435,-0.21,2.22,3.5355339059327373,3.0
1.759685067000457E9,42.464334103318365,-71.29219679168546,141.63128660106895,345.5859375,6.064794586344652,-0.21,2.22,3.5355339059327373,3.0
1.759685068000462E9,42.46436276942721,-71.29220232374155,141.5537911763027,350.859375,6.064794586344652,-0.21,2.22,3.5355339059327373,3.0
1.7596850690004678E9,42.46439357292137,-71.29220332956993,141.0890188742809,358.2421875,6.3563714452241085,-0.21,2.22,3.5355339059327373,3.0
1.7596850700004735E9,42.46442534033439,-71.29219913861834,140.68952695591227,5.2734375,6.8423325677241085,-0.21,2.22,3.5355339059327373,3.0
1.7596850709998012E9,42.46445756875208,-71.29218975088679,140.32587917458025,11.6015625,7.036716831344652,-0.21,2.22,3.5355339059327373,3.0
1.7596850719998026E9,42.46448962953171,-71.29217558547043,140.69092868194164,17.578125,7.036716831344652,-0.21,2.22,3.5355339059327373,3.0
1.7596850729998143E9,42.46452114548764,-71.29215664236926,140.55215780503465,23.5546875,7.2116631320517826,-0.21,2.22,3.5355339059327373,3.0
1.7596850739998171E9,42.4645524938055,-71.29213174811684,141.04416364134124,30.234375,7.522677953844652,-0.21,2.22,3.5355339059327373,3.0
1.759685074999817E9,42.464583297299654,-71.29210199236059,141.4104146281564,34.453125,8.125269634516979,-0.21,2.22,3.5355339059327373,3.0
1.7596850759998288E9,42.46461401697478,-71.29206930293822,141.48550709401513,37.265625,8.377969640672326,-0.21,2.22,3.5355339059327373,3.0
1.7596850769998353E9,42.46464523956409,-71.29203493713521,141.3513418883475,37.6171875,8.377969640672326,-0.21,2.22,3.5355339059327373,3.0
1.7596850779998393E9,42.46467763561985,-71.29199914640867,141.27184399782502,37.6171875,8.727861315189305,-0.21,2.22,3.5355339059327373,3.0
1.7596850789998522E9,42.46471112132302,-71.29196251749181,141.7826730122402,37.6171875,9.311015032948218,-0.21,2.22,3.5355339059327373,3.0
1.7596850799998572E9,42.46474561285457,-71.2919252180227,142.1168845469556,37.6171875,9.641468744551783,-0.21,2.22,3.5355339059327373,3.0
1.7596850809998574E9,42.464779475743384,-71.29188280559265,142.3778058349928,37.6171875,9.641468744551783,-0.21,2.22,3.5355339059327373,3.0
1.7596850819998698E9,42.4648165237554,-71.29184123135292,142.39863147885765,36.9140625,10.069114124516979,-0.21,2.22,3.5355339059327373,3.0
1.759685082999875E9,42.464855960609825,-71.29180016002738,142.83837295892656,36.9140625,11.079913222241087,-0.21,2.22,3.5355339059327373,3.0
1.7596850839998064E9,42.46489699002585,-71.29175674176895,143.2622949595212,37.96875,11.449243786568761,-0.21,2.22,3.5355339059327373,3.0
1.7596850849997783E9,42.46493894145122,-71.29171181476795,143.13934356208847,37.6171875,11.449243786568761,-0.21,2.22,3.5355339059327373,3.0
1.759685085999792E9,42.46498399418077,-71.29166697158598,143.8081671246705,36.9140625,11.97408176179287,-0.21,2.22,3.5355339059327373,3.0
1.7596850869998045E9,42.46503009464821,-71.29162179312789,143.72906972729925,37.6171875,12.265658620672326,-0.21,2.22,3.5355339059327373,3.0
1.7596850879998178E9,42.46507514737776,-71.29157301045143,143.78033285065882,36.9140625,12.401728068655348,-0.21,2.22,3.5355339059327373,3.0
1.7596850889998298E9,42.465120619202466,-71.29152665852689,143.49177753518558,36.2109375,12.401728068655348,-0.21,2.22,3.5355339059327373,3.0
1.7596850899998412E9,42.46516785122684,-71.29148265353524,143.21643849370346,36.5625,12.343412326120543,-0.21,2.22,3.5355339059327373,3.0
1.7596850909998527E9,42.46521357450864,-71.29143739125811,143.45092723375842,36.2109375,12.18790491522411,-0.21,2.22,3.5355339059327373,3.0
1.7596850919998634E9,42.46525728613368,-71.2913934700855,143.52581945304155,37.6171875,11.954643798879458,-0.21,2.22,3.5355339059327373,3.0
1.7596850929998748E9,42.46530078821114,-71.2913501356461,143.78674074107877,38.3203125,11.954643798879458,-0.21,2.22,3.5355339059327373,3.0
1.759685093999885E9,42.46534437410763,-71.29130981869184,143.64356443950808,37.265625,11.740820645448217,-0.21,2.22,3.5355339059327373,3.0
1.7596850949998956E9,42.46538829528025,-71.29126438877665,144.48019463246249,36.9140625,11.721382682534804,-0.21,2.22,3.5355339059327373,3.0
1.7596850959999049E9,42.465431336353035,-71.29122080288016,145.02406433185553,36.5625,11.449243786568761,-0.21,2.22,3.5355339059327373,3.0
1.7596850969999142E9,42.46547207240245,-71.29117696552657,145.14841745531763,36.2109375,11.449243786568761,-0.21,2.22,3.5355339059327373,3.0
1.7596850979999247E9,42.46551452674201,-71.29113354726815,144.5522833996869,36.5625,11.332613228396434,-0.21,2.22,3.5355339059327373,3.0
1.7596850989999337E9,42.46555664580545,-71.29108987755262,143.72866923414801,39.0234375,11.254859522948218,-0.21,2.22,3.5355339059327373,3.0
1.7596850999999425E9,42.46559788476905,-71.29104587256097,143.7673168232433,39.375,11.079913222241087,-0.21,2.22,3.5355339059327373,3.0
1.7596851009999514E9,42.46563891418508,-71.29100186756932,144.09331824835814,37.6171875,11.079913222241087,-0.21,2.22,3.5355339059327373,3.0
1.7596851019999595E9,42.46567990169159,-71.29095870076799,144.04445808390605,37.265625,11.00215951679287,-0.21,2.22,3.5355339059327373,3.0
1.7596851029999676E9,42.46571942236504,-71.29091930582308,144.19924868686292,36.9140625,10.943844701155347,-0.21,2.22,3.5355339059327373,3.0
1.7596851039999757E9,42.46575827248624,-71.29087915650689,144.28094928971723,36.9140625,10.730021547724109,-0.21,2.22,3.5355339059327373,3.0
1.7596851049999838E9,42.465797374064536,-71.2908387557336,144.29316433083025,36.5625,10.730021547724109,-0.21,2.22,3.5355339059327373,3.0
1.7596851059999921E9,42.46583697855702,-71.29079852259838,144.65040422174232,37.265625,10.652267842275892,-0.21,2.22,3.5355339059327373,3.0
1.759685107E9,42.46587574485919,-71.29076038493895,143.7655146040627,36.9140625,10.613390989551784,-0.21,2.22,3.5355339059327373,3.0
1.7596851080000074E9,42.46591547508022,-71.2907211576321,144.16440578270445,36.9140625,10.321814130672326,-0.21,2.22,3.5355339059327373,3.0
1.759685109000015E9,42.46595273263982,-71.2906817626872,143.75410054925217,37.265625,10.321814130672326,-0.21,2.22,3.5355339059327373,3.0
1.759685110000023E9,42.46599107984683,-71.29064270301842,144.890900359066,37.265625,10.224622462310696,-0.21,2.22,3.5355339059327373,3.0
1.7596851110000303E9,42.46602770876369,-71.29060322425448,145.0332756743342,37.96875,10.107990977241087,-0.21,2.22,3.5355339059327373,3.0
1.759685112000038E9,42.466063667128296,-71.29056550569021,145.16023200327942,38.3203125,9.835853008172327,-0.21,2.22,3.5355339059327373,3.0
1.759685113000045E9,42.466102014335306,-71.29052912823045,144.57431052300547,38.671875,9.933045603431239,-0.21,2.22,3.5355339059327373,3.0
1.7596851140000517E9,42.466138433704586,-71.29048973328554,144.92474203034632,39.0234375,9.89416875070713,-0.21,2.22,3.5355339059327373,3.0
1.7596851150000591E9,42.46617393106452,-71.29045008688354,144.32480328977874,39.375,9.89416875070713,-0.21,2.22,3.5355339059327373,3.0
1.7596851160000663E9,42.46621081143847,-71.29041505052828,144.1916393169892,35.15625,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.7596851170000722E9,42.46624928437403,-71.29038060090625,144.51784098867967,34.453125,9.738661339810696,-0.21,2.22,3.5355339059327373,3.0
1.7596851180000794E9,42.46628587138137,-71.29034589982712,144.83663353707206,35.15625,9.738661339810696,-0.21,2.22,3.5355339059327373,3.0
1.7596851190000858E9,42.46632111728421,-71.29030784598672,144.71648559169805,36.5625,9.758099302724109,-0.21,2.22,3.5355339059327373,3.0
1.7596851200000925E9,42.466357578563006,-71.29027163616502,145.18806627729106,37.265625,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.7596851210000992E9,42.46639383029422,-71.29023408523881,144.88269024946544,36.9140625,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.7596851220001063E9,42.46642836373529,-71.29019703722679,144.84704635900448,37.96875,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.7596851230001125E9,42.466464531647475,-71.29016124650025,144.47238501601316,37.265625,9.622029854741086,-0.21,2.22,3.5355339059327373,3.0
1.7596851240001187E9,42.46649956800273,-71.29012503667855,144.15199049501578,36.9140625,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.7596851250001256E9,42.466534227172346,-71.29008824012362,143.7885429602594,36.9140625,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.759685126000132E9,42.466570353175015,-71.29005018628322,143.87244627544558,37.265625,9.660906707465196,-0.21,2.22,3.5355339059327373,3.0
1.7596851270001388E9,42.466606688725264,-71.29001271917605,143.59890945314407,36.9140625,9.699783560189305,-0.21,2.22,3.5355339059327373,3.0
1.759685128000145E9,42.46664277281842,-71.28997667699241,143.4395131789479,36.5625,9.835853008172327,-0.21,2.22,3.5355339059327373,3.0
1.7596851290001512E9,42.46667927600673,-71.28994180827522,143.52361674070968,36.5625,9.913606713620544,-0.21,2.22,3.5355339059327373,3.0
1.7596851300001578E9,42.46671577919504,-71.2899045088061,144.19183956356483,36.9140625,9.89416875070713,-0.21,2.22,3.5355339059327373,3.0
